chamber,committee,committee_code,api_uri,date,time,location,description,bill_ids,url,meeting_type
House,Committee on Financial Services,HSBA,https://api.propublica.org/congress/v1/114/house/committees/HSBA.json,2016-12-08,09:30:00,RHOB 2128,The Impact of Regulations on Short-Term Financing,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105456,Hearing
House,Committee on Oversight and Reform,HSGO,https://api.propublica.org/congress/v1/114/house/committees/HSGO.json,2016-12-08,09:00:00,RHOB 2154,&quot;DATA Act Implementation Check-in.&quot;,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105458,Hearing
House,Committee on Oversight and Reform,HSGO,https://api.propublica.org/congress/v1/114/house/committees/HSGO.json,2016-12-07,14:00:00,RHOB 2154,Time and Attendance Abuse at the U.S. Patent and Trademark Office.,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105457,Hearing
House,Committee on Energy and Commerce,HSIF,https://api.propublica.org/congress/v1/114/house/committees/HSIF.json,2016-12-07,10:00:00,RHOB 2322,Waste and Duplication in the USDA Catfish Inspection Program,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105448,Hearing
House,Committee on Financial Services,HSBA,https://api.propublica.org/congress/v1/114/house/committees/HSBA.json,2016-12-07,10:00:00,RHOB 2128,Unconventional Monetary Policy,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105455,Hearing
House,Committee on Transportation and Infrastructure,HSPW,https://api.propublica.org/congress/v1/114/house/committees/HSPW.json,2016-12-07,10:00:00,RHOB 2165,General Services Administration Capital Investment and Leasing Program Resolutions,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105461,Markup
House,Committee on Foreign Affairs,HSFA,https://api.propublica.org/congress/v1/114/house/committees/HSFA.json,2016-12-07,10:00:00,RHOB 2172,Corruption: A Danger to Democracy in Europe and Eurasia,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105450,Hearing
House,Committee on Agriculture,HSAG,https://api.propublica.org/congress/v1/114/house/committees/HSAG.json,2016-12-07,10:00:00,LHOB 1300,1890 Land-Grant Institutions: Recruitment Challenges and Scholarship Opportunities,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105446,Hearing
House,Committee on Oversight and Reform,HSGO,https://api.propublica.org/congress/v1/114/house/committees/HSGO.json,2016-12-07,09:00:00,RHOB 2154,Examining the Costs of Overclassification on Transparency and Security,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105452,Hearing
House,Committee on Rules,HSRU,https://api.propublica.org/congress/v1/114/house/committees/HSRU.json,2016-12-06,15:00:00,CAPITOL H-313,H.R. 5143Transparent Insurance Standards Act of 2016,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105454,Meeting
House,Committee on Oversight and Reform,HSGO,https://api.propublica.org/congress/v1/114/house/committees/HSGO.json,2016-12-06,14:00:00,RHOB 2154,The Federal Information Technology Acquisition Reform Act (FITARA) Scorecard 3.0: Measuring Agencies Implementation,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105443,Hearing
House,Committee on Foreign Affairs,HSFA,https://api.propublica.org/congress/v1/114/house/committees/HSFA.json,2016-12-06,14:00:00,RHOB 2172,Step or Stumble: The Obama Administrations Pivot to Asia,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105445,Hearing
House,Committee on Energy and Commerce,HSIF,https://api.propublica.org/congress/v1/114/house/committees/HSIF.json,2016-12-06,11:00:00,RHOB 2322,Volkswagens Emissions Cheating Settlement: Questions Concerning ZEV Program Implementation,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105438,Hearing
House,Committee on Foreign Affairs,HSFA,https://api.propublica.org/congress/v1/114/house/committees/HSFA.json,2016-12-06,10:00:00,RHOB 2172,American Compassion in India: Government Obstacles,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105444,Hearing
House,Committee on Natural Resources,HSII,https://api.propublica.org/congress/v1/114/house/committees/HSII.json,2016-12-06,10:00:00,LHOB 1324,Oversight Hearing on Examining Decades of Data Manipulation at the United States Geological Survey,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105460,Hearing
House,Committee on Oversight and Reform,HSGO,https://api.propublica.org/congress/v1/114/house/committees/HSGO.json,2016-12-02,09:00:00,RHOB 2154,A SafeTrack?: Oversight of WMATA&#39;s Safety and Maintenance,n/a,http://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=105437,Hearing
